Fecha,Precio,RetornoLog,Volatilidad_7d,Volatilidad_14d,Volatilidad_21d,Volatilidad_28d
2018-01-29,11251.0,-0.05439509158249847,0.6905718079347765,1.52204087425396,1.3711323781512588,1.367343459795732
2018-01-30,10237.51,-0.09439858760924733,1.0053291855777344,1.1432581870685925,1.4101982599553207,1.3515146838588907
2018-01-31,10285.1,0.004637819975389339,0.895482586409413,1.1423208812360024,1.3959367943968952,1.3487016555091143
2018-02-01,9224.52,-0.10883108990254975,1.127961644377894,1.2594996762478512,1.3834705988267335,1.3887925420674418
2018-02-02,8873.03,-0.03884881716142667,1.117298375636366,1.2235540620991785,1.3651299437825837,1.2928561694585805
2018-02-03,9199.96,0.03618279732835513,1.1194060478333077,1.0547499783895544,1.3670256292897194,1.3064464351487362
2018-02-04,8184.81,-0.1169191388606565,1.1138420223857033,1.0830503376094778,1.419508944407301,1.3459479137356165
2018-02-05,6939.99,-0.1649796637633145,1.3762430104425682,1.2856506244646786,1.5294240392965033,1.4259011580092893
2018-02-06,7652.14,0.0976850136855151,1.7957915118014482,1.4381054114375231,1.3907835191922613,1.4950835588849272
2018-02-07,7599.0,-0.006968687593351903,1.7795008821998484,1.3839118169960387,1.3872608156560924,1.481054270682425
2018-02-08,7784.02,0.024056254565828366,1.7398107453977594,1.4089850326794522,1.3968980115338674,1.4470501581792092
2018-02-09,8683.92,0.10940012537559372,1.9772998497036642,1.5690729071031586,1.4717102650764715,1.5071846351738138
2018-02-10,8533.98,-0.017417198432916687,1.9502535232111105,1.5418378208658823,1.3704895192871351,1.4955055463752274
2018-02-11,8063.88,-0.05666101093024384,1.792858314504402,1.5207661815069933,1.3301481923377965,1.4966801110813996
2018-02-12,8903.0,0.09899346832562467,1.271784982200886,1.641948365193044,1.3931552498492428,1.5539076922133117
2018-02-13,8539.9,-0.04163900046148712,1.255751415611173,1.5932448146522376,1.3984261469904444,1.3631997048173206
2018-02-14,9449.99,0.1012643851739862,1.374583704619701,1.6962559340519041,1.4547463964451621,1.419087062484256
2018-02-15,10000.09,0.056580409649512595,1.3844122944541242,1.6235549659031334,1.4794454794494662,1.4366353094825048
2018-02-16,10159.98,0.015862380690915286,1.2389844667624021,1.6052731960326616,1.4820021108532941,1.4268718516263939
2018-02-17,11039.55,0.08302780550417584,1.2546886256578367,1.6443375400384552,1.5179766069727516,1.4015432077025243
2018-02-18,10383.43,-0.061273012835288285,1.2758457547112692,1.5422542611478445,1.529113996249044,1.3684872363850609
2018-02-19,11153.0,0.07149725369905101,1.2070037777134706,1.1916536299516831,1.5469874438832327,1.371847869893006
2018-02-20,11200.99,0.00429364723937341,1.0743770464078415,1.1457981475805255,1.4912797087595568,1.3718653240077503
2018-02-21,10437.6,-0.07058749628237194,1.1777699651864248,1.2411666307582296,1.5235803884737449,1.3831741699163345
2018-02-22,9811.04,-0.0619063887400933,1.2281011933927886,1.3139505258163262,1.4737597318267326,1.3989040026228616
2018-02-23,10131.04,0.03209569611200183,1.248474018063587,1.216194561577649,1.466713705607868,1.4050939944707992
2018-02-24,9694.51,-0.0440442324402057,1.053901362262588,1.2410147061986576,1.475009884301542,1.404762648523901
2018-02-25,9590.0,-0.010838857005757338,0.9905802062712664,1.1939978155403608,1.3816242582751463,1.3970621553389762
2018-02-26,10324.0,0.07375039296102064,1.002111029433365,1.1486819495997103,1.1815854594022412,1.415584883656576
2018-02-27,10569.04,0.0234576908169124,1.0291329393776563,1.113138244340958,1.1307037122104797,1.376202660316224
2018-02-28,10326.76,-0.023190388304420374,0.9039030039107528,1.0205957123473313,1.1385499664002006,1.3789110476547894
2018-03-01,10920.0,0.05585738594789953,0.821605702939794,1.0196025434485059,1.151018295659831,1.3303083810356466
2018-03-02,11039.0,0.010838486719455614,0.8094161571788878,1.0185998880300264,1.076156992283251,1.319703935038212
2018-03-03,11464.48,0.0378191028154963,0.6661742372609225,0.9460971561624907,1.0737742013670881,1.320192800212918
2018-03-04,11515.0,0.004396973420937615,0.6256137870424062,0.878426932019052,1.0296529390846318,1.2351062083189535
2018-03-05,11454.0,-0.005311519300982928,0.509198775855176,0.8055660458524629,0.9679808259590633,1.04545576551011
2018-03-06,10716.48,-0.06655627045932556,0.7664033121048678,0.8776635107092146,0.9982783579947714,1.0441743240733408
2018-03-07,9910.0,-0.07823839517044331,0.956009706028285,0.8948679752249452,0.9818142782629025,1.0923000059099135
2018-03-08,9271.64,-0.06658406963285031,0.8808508285593524,0.9036851739846896,0.9916839104357202,1.1245011543668642
2018-03-09,9227.0,-0.004826310112627507,0.850578313428826,0.8816289163744914,0.9880174204377349,1.0564152232447053
2018-03-10,8770.22,-0.05077207700814944,0.67007302141074,0.8902623126893136,0.9270686755519673,1.0715301489764215
2018-03-11,9533.57,0.08345736243611354,1.0887312073221367,1.0024432528357095,0.9786404564880343,1.0889264668700815
2018-03-12,9131.34,-0.043106801293249175,1.0771252514211738,0.9349859530508264,0.9327026377435863,1.0448096577614912
2018-03-13,9150.0,0.002041426556296274,1.0584364382861011,0.9205439566803487,0.9321408220249477,1.03259660917794
2018-03-14,8170.0,-0.1132849704155184,1.192341884330821,1.060305306865793,0.9977833474006297,1.0455580777875026
2018-03-15,8240.98,0.0086503600164496,1.1661109510439611,0.9949469783098893,0.9760677940616359,1.0213132041955577
2018-03-16,8260.0,0.0023053186445256128,1.1717021660859648,0.9884282742299046,0.9613555707303023,1.0183955823130546
2018-03-17,7824.8,-0.05412641053874062,1.1780232390274132,0.9461398853293832,0.9688145190421756,0.9731608047977935
