,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.3752657816598237,39.7317979689293,0.20078189232179403,0.3392142169948669,0.11506628501144067,49.09487423723344,0.23510272035472557,0.354727928328859,0.12583190313648415,49.43877665331491,0.26086562842444977,0.35752518807819617,0.12782426011034953,48.95588468248781,0.31374916460920815,0.446840686315972,0.1996665989473289,44.726229612577804,0.33279592671748126,0.5487519476931478,0.30112870009702325,48.97886933021321,0.3258930370408974,0.40283395052852555,0.16227519169841859,49.45629780586856,0.33048736574943655,0.44211736756534153,0.19546776670290733
Fold 2,0.09902133053253061,32.78146751260453,0.18130588548183663,0.33043818147419607,0.10918939177597373,49.62074866039855,0.24921488474304967,0.39379897826131344,0.15507763527965443,63.56215717830616,0.3049990730164773,0.43077144461108824,0.18556403749232386,60.202585949137365,0.32993198951907204,0.44401260164464523,0.19714719041924642,47.29181614640958,0.3423485587888759,0.5384961324119506,0.28997808462262903,49.450867558802656,0.36858604452300947,0.5971227719792797,0.35655560481621884,54.84693162006613,0.3665905009392213,0.4875723562669914,0.237726802595746
Fold 3,0.5727490996805245,39.818873210538186,0.24147730812134297,0.520495604689911,0.27091567450151605,54.23325444064038,0.28902353314088863,0.6091959525329751,0.3711197085825588,67.49902171527184,0.32753206611042407,0.6336376042519699,0.4014966135221761,73.38217618779235,0.37432894932728117,0.6968434286966808,0.4855907641177461,68.6363484381075,0.4060882902114078,0.7267565224825424,0.5281750429709181,51.63151255214464,0.3680032349368119,0.7135035623924232,0.5090873335466785,54.77161589634921,0.3887508669946662,0.72573102020852,0.5266855136928992
Fold 4,0.010084530495730206,35.092381499818366,0.17915853898158182,0.2852396729334561,0.081361671015185,50.656134249045984,0.3047232238313343,0.5938591943264425,0.35266874268605136,57.84890010225839,0.3467487614551436,0.6802892718208954,0.46279349335460407,69.02936216911803,0.38848222785092934,0.6987670847250843,0.4882754386951931,79.45695035556713,0.4421852752167281,0.747483243007083,0.5587311985763859,80.68176589739753,0.4725968032336834,0.7760014589369374,0.6021782642722553,61.59037183682241,0.4386627146631427,0.7961645522342282,0.6338779942343291
Fold 5,9.768429453868598e-05,52.36737064434372,0.2508527647591988,0.3042520600216787,0.09256931602743519,70.08044498034685,0.3240298979483859,0.432005255757064,0.1866285410017263,83.39672499262157,0.4024064492473449,0.5031365744297605,0.2531464125289139,81.3537589372612,0.41399511476301826,0.47664854452697375,0.2271938349996825,97.49658173455433,0.4963049659562712,0.6027188748132597,0.3632700420561618,92.37637190413487,0.4550281281991381,0.5783948191552453,0.3345405668256289,107.92396441951797,0.4923091118578259,0.6905668722192759,0.4768826050067137
Mean ± Std,0.2114 ± 0.2259,39.958 ± 6.771,0.211 ± 0.030,0.356 ± 0.084,0.134 ± 0.070,54.737 ± 7.878,0.280 ± 0.033,0.477 ± 0.105,0.238 ± 0.103,64.349 ± 11.295,0.329 ± 0.047,0.521 ± 0.121,0.286 ± 0.127,66.585 ± 11.152,0.364 ± 0.037,0.553 ± 0.119,0.320 ± 0.137,67.522 ± 19.855,0.404 ± 0.061,0.633 ± 0.088,0.408 ± 0.114,64.624 ± 18.286,0.398 ± 0.056,0.614 ± 0.128,0.393 ± 0.152,65.718 ± 21.451,0.403 ± 0.057,0.628 ± 0.139,0.414 ± 0.170
