,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.8430857727062696,3.5511988529832514,0.020914048977867073,0.03108307501001521,0.000966157552078232,5.647444364887839,0.0330578993523801,0.05485583089692717,0.00300916218339227,7.391876006603713,0.04156750743593844,0.06863864383142657,0.004711263427017431,8.436983490225327,0.0473159997652023,0.0754284393654295,0.0056894494651042755,11.380713182080605,0.05864048079860448,0.0891320972897387,0.007944530767267444,13.432942145778062,0.06671883769224869,0.09299746707246123,0.008648528881893512,14.45431890205325,0.07437022809585743,0.09840607671463913,0.009683755934367443
Fold 2,0.9983962731836822,3.430849031292069,0.019831525492130075,0.031128090777753383,0.0009689580354680553,5.291158171678314,0.030400531165364654,0.04541001591703075,0.002062069545584986,7.8563641696092565,0.04383734050297109,0.0639879232697038,0.004094454324369502,9.75462480104011,0.05401524515645275,0.07806328802860309,0.006093876937836645,10.273546056625642,0.05633328846957522,0.08266672537971838,0.006833787485005775,13.050263102945731,0.06793639339437757,0.09665093288555547,0.009341402827648148,14.154607924122992,0.07046747489138448,0.09770458755278401,0.009546186428859637
Fold 3,0.21414431149984103,3.9943126103308546,0.02235718187300809,0.04242071797203451,0.0017995173132628918,5.428849655978461,0.031808099175357,0.07785446247581608,0.0060613173273982544,7.18012336188935,0.04290610091510175,0.06932923018408363,0.004806542157917653,9.044031638379426,0.05151815170916867,0.07416819083028278,0.005500920531037242,11.967706364330425,0.06782185289803706,0.09768641463053225,0.009542635603368266,10.905021872035244,0.0593204251561885,0.08514183370698504,0.007249131846987894,13.89289063870115,0.07306236541869456,0.10758470373402043,0.01157446847753695
Fold 4,0.40227999172479223,4.087478420013749,0.025150096482757275,0.04123896565571771,0.001700652288353465,5.397626194578241,0.032052634196281835,0.05708841893586857,0.0032590875765972373,6.782434917974997,0.0389830871239289,0.06715492268016982,0.004509783640179586,7.875720324508184,0.04706520330217454,0.07645798612958904,0.005845823642992431,9.82107654203662,0.05668660290305017,0.08176396261918824,0.006685345583192011,11.768395858476664,0.06696136360633648,0.10424160139706745,0.010866311461825094,12.760575301384167,0.07089165091775707,0.10785547713594199,0.011632803948221705
Fold 5,0.6998234729448399,5.516302647948241,0.04041963226366763,0.13041352921164615,0.01700768860143688,7.078282197118909,0.05145293311471017,0.14208038159409814,0.02018683483392454,7.994468022247464,0.05640860247341048,0.14494461940869088,0.021008942695530247,9.493837651350283,0.06608760716820151,0.1513695333354722,0.02291273562219863,11.547800658034832,0.07618806536170034,0.15618542211091407,0.024393886079964403,15.338819746906168,0.09775120216661004,0.2000931526398789,0.040037269733365875,16.837353342249866,0.10665262258938163,0.21272175613538172,0.04525054553332081
Mean ± Std,0.6315 ± 0.2866,4.116 ± 0.744,0.026 ± 0.008,0.055 ± 0.038,0.004 ± 0.006,5.769 ± 0.665,0.036 ± 0.008,0.075 ± 0.035,0.007 ± 0.007,7.441 ± 0.443,0.045 ± 0.006,0.083 ± 0.031,0.008 ± 0.007,8.921 ± 0.688,0.053 ± 0.007,0.091 ± 0.030,0.009 ± 0.007,10.998 ± 0.812,0.063 ± 0.008,0.101 ± 0.028,0.011 ± 0.007,12.899 ± 1.518,0.072 ± 0.013,0.116 ± 0.043,0.015 ± 0.012,14.420 ± 1.338,0.079 ± 0.014,0.125 ± 0.044,0.018 ± 0.014
