,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.5949221551283437,6.467553489136437,0.03716035272207272,0.06045081527799698,0.0036543010677745126,13.923575883967732,0.0798836950221788,0.20176207600661086,0.040707935314497415,14.37329353935119,0.08552809924905816,0.22602470854244885,0.05108716887169896,14.668257006893548,0.09180751931084138,0.2484255267734165,0.06171524235264948,16.276069016655985,0.0985376596488781,0.24668309194467772,0.06085254785138632,18.52538886377314,0.10996630327388193,0.25339098753903677,0.06420699256600829,21.08634410726426,0.12512048790530197,0.2699229023965112,0.07285837323815648
Fold 2,0.280972695072475,5.659137727189509,0.03271464280001216,0.04342295332819458,0.0018855528757425648,9.112242688284535,0.04953781035126294,0.07170014274086513,0.005140910469060435,15.402207405725916,0.09187184130436483,0.21526587704759143,0.04633939782106875,17.486352887844415,0.09704914109596202,0.22152866243925323,0.0490749482821246,16.904956268777322,0.10197022425815118,0.2438156315619987,0.059446062193976294,16.575399212489884,0.10377821121983043,0.25910980819116647,0.06713789270086308,18.245043140489788,0.11266805244089674,0.26750853198872754,0.07156081468676406
Fold 3,0.1473078880355856,7.365964592608304,0.03257979053312425,0.047080165554714004,0.0022165419886592793,11.170992925367802,0.05489306233537272,0.07041087016683516,0.004957690637650918,12.363943133591434,0.06220028378359123,0.08189632084081125,0.006707007367261096,17.399679954400344,0.0969441332413177,0.18406302730349253,0.03387919802012624,20.13868942787423,0.11186170942804147,0.2409888526251675,0.0580756270895947,21.231988513014404,0.12299600665303415,0.2524955836978187,0.06375401978690216,18.52289227654528,0.11261418542050815,0.2398198364183064,0.057513553939703234
Fold 4,0.04582293646203889,5.428687259777195,0.028690200497442683,0.0394263863668894,0.0015544399419512426,8.743141546433183,0.04544657095082695,0.061605959349477435,0.003795294227369466,11.422941721921372,0.05948796797863943,0.07436314849342039,0.005529877853854491,11.792788745700179,0.06188314721170846,0.0798281738497435,0.006372537340184873,17.68336623679761,0.09752449585495176,0.17862956216418663,0.03190852047896901,20.534968032078556,0.1078232681876841,0.21066654617023278,0.044380393675294824,19.91416854403082,0.11261905371848854,0.21509107620065565,0.04626417106115626
Fold 5,0.00510373233059793,8.992726177373958,0.050192461268113865,0.07256089436053759,0.005265083390401095,9.882952700654323,0.07124549363382651,0.13827067645642585,0.019118779967717596,11.964783998825746,0.08051372928303893,0.13837092783147986,0.019146513668944612,11.670092133427353,0.07893572616122127,0.1298050184351811,0.016849342810957707,15.063693333531338,0.10166818731620765,0.1692616452194664,0.028649504542400516,17.124838798046877,0.10756423477865032,0.16114057118465236,0.02596628368171601,19.075003212753145,0.11878351682565909,0.17273147200582797,0.02983616142130013
Mean ± Std,0.2148 ± 0.2126,6.783 ± 1.298,0.036 ± 0.007,0.053 ± 0.012,0.003 ± 0.001,10.567 ± 1.873,0.060 ± 0.013,0.109 ± 0.054,0.015 ± 0.014,13.105 ± 1.521,0.076 ± 0.013,0.147 ± 0.064,0.026 ± 0.019,14.603 ± 2.555,0.085 ± 0.013,0.173 ± 0.061,0.034 ± 0.020,17.213 ± 1.695,0.102 ± 0.005,0.216 ± 0.034,0.048 ± 0.014,18.799 ± 1.831,0.110 ± 0.007,0.227 ± 0.037,0.053 ± 0.016,19.369 ± 1.031,0.116 ± 0.005,0.233 ± 0.036,0.056 ± 0.016
