,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.786171706863334,18.8667462256936,0.10267077860242514,0.13804744910103953,0.019057098203304097,36.97534681393001,0.14806483896280354,0.20226678412787352,0.04091185196143179,42.55915446358646,0.17321515687421835,0.23127958690588926,0.05349024731935879,49.748072093272874,0.2044655772531714,0.25117561046195225,0.06308918729093438,58.504067291343986,0.2481894639108614,0.3672350777358828,0.1348616023196799,58.516713593952794,0.22839939151667707,0.29471542642995446,0.0868571825757899,59.398010849342384,0.20897902382553996,0.2640576493016302,0.06972644215470275
Fold 2,0.003875616376311665,21.73530683136197,0.092578517590552,0.12950813388138446,0.0167723567414386,24.69033737870085,0.12127564454463229,0.1598882271814547,0.02556424519122847,48.5441261962575,0.21220050872792368,0.2889161496382864,0.08347254152181267,52.69769112068893,0.21293016473972998,0.27244560731237105,0.0742266089438067,61.690991150698316,0.24843939204181886,0.3071004669596895,0.09431069680685934,66.73335721395134,0.26899588854533707,0.3305291786591116,0.10924953794506691,64.52592049511603,0.2621661730315345,0.3112311776375924,0.0968648459336826
Fold 3,0.02555990912284071,18.796249717523477,0.09573120007937623,0.13487009289253443,0.018189941956840865,32.03376606584031,0.1544556627879015,0.19539994402464858,0.0381811381248358,29.975920183859035,0.16056161835147006,0.20609131089532523,0.0424736284265536,49.903332182330416,0.2047369872234423,0.2679811044968597,0.07181387236735684,57.04015319593422,0.2293182157665022,0.2914532518148227,0.08494499799343444,62.846684647124306,0.2554620800300158,0.3055136803394552,0.09333860887455882,66.76587417324978,0.26459933707415634,0.31964567428374924,0.10217335708831272
Fold 4,0.9669874749771399,20.88812632152776,0.10998058755862342,0.15364461735253307,0.023606668441406308,26.589719041726063,0.1516920824697563,0.2028589371830737,0.04115174839504625,35.237551149221666,0.17141459602772138,0.2136834373316799,0.04566061138988197,35.58535436787459,0.19791855651169685,0.24064350497882145,0.05790929648849206,57.22951316653775,0.24763452713055667,0.3243368278223313,0.10519437788185258,63.11355330365467,0.2634102829057319,0.33580294638333413,0.11276361879972839,63.61644242125518,0.2646207993911486,0.3216496611521331,0.10345850451928205
Fold 5,0.7229705913926121,17.819610925212668,0.08936292233102942,0.13461366425013135,0.018120838602847092,31.217012405881718,0.14403214918812846,0.21197848275346745,0.04493487715046209,34.8127413642516,0.20047932803971172,0.31598129209760606,0.09984417695567263,38.7089870354854,0.22321450870820553,0.35174147954420554,0.12372206843194675,40.79297355400929,0.2249537716671094,0.3323015096929068,0.11042429334418502,46.5851825892904,0.25689745011762827,0.36636681517881364,0.134224643264267,52.50519004615749,0.2752910528063993,0.38137002550654103,0.14544309635485977
Mean ± Std,0.5011 ± 0.4052,19.621 ± 1.454,0.098 ± 0.007,0.138 ± 0.008,0.019 ± 0.002,30.301 ± 4.328,0.144 ± 0.012,0.194 ± 0.018,0.038 ± 0.007,38.226 ± 6.540,0.184 ± 0.019,0.251 ± 0.043,0.065 ± 0.023,45.329 ± 6.834,0.209 ± 0.009,0.277 ± 0.039,0.078 ± 0.024,55.052 ± 7.321,0.240 ± 0.010,0.324 ± 0.026,0.106 ± 0.017,59.559 ± 6.990,0.255 ± 0.014,0.327 ± 0.025,0.107 ± 0.017,61.362 ± 5.032,0.255 ± 0.024,0.320 ± 0.037,0.104 ± 0.024
