,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.18872600553559238,5.534103022110515,0.025681969501835523,0.0393314310170573,0.001546961465849537,7.726401732380628,0.04242236918223557,0.06266815231158508,0.003927297314148027,11.229048737347332,0.06193847051707645,0.09033563374671015,0.008160526724419758,13.859981697929394,0.07807532006649853,0.12100806835917163,0.014642952608017954,16.247605074445307,0.09081914388378783,0.1543078722642317,0.02381091944271445,18.878070990277777,0.0997750818659434,0.16103067566168708,0.02593087850405946,19.676619223831562,0.10317585342748296,0.16656245761572286,0.027743052286989475
Fold 2,0.9320620801682535,5.57903686759397,0.029124728740088767,0.047211164630357336,0.0022288940657547037,9.060953597072615,0.042923828311834486,0.06193683924864151,0.0038361720561120595,11.048417824702852,0.0558905810727643,0.081089510142174,0.00657550865509774,13.935458975899225,0.07431121999286577,0.10302006477375752,0.010613133745989196,16.751105215663802,0.08968054674193285,0.13163629471767982,0.017328114086999857,19.459963376447675,0.10378734884043157,0.16129848302919658,0.02601720062752002,21.334016136250312,0.10807968784150913,0.1656615477475125,0.027443748402101363
Fold 3,0.6145129240246265,5.318425391502667,0.025970994512036882,0.03894733580292248,0.0015168949661456073,8.548543088635387,0.04301735524224667,0.06073592350777629,0.003688852404342453,11.131473909190854,0.05315720286543765,0.0716835387892216,0.005138529733345837,12.508682733912554,0.06514086281350129,0.08946671507592831,0.008004293106477338,16.069764544307503,0.08589036143591966,0.11747045966310025,0.013799308893460063,18.791280269464895,0.09979207492630685,0.1442817914205269,0.020817235335516434,20.766866748548377,0.10875297757169457,0.16715567460760214,0.027941019553522566
Fold 4,0.788339189753413,6.449323358124347,0.031742661142258065,0.05249437660877251,0.002755659575543642,10.053232544758355,0.04879331741780533,0.07042592799552916,0.004959811334031457,12.25851631133417,0.06117816103036754,0.08232086754980467,0.006776725234152483,14.401216865708067,0.066552106131045,0.08887191847937097,0.007898217894203958,15.67937740719341,0.0785805652650948,0.10136057775164195,0.010273966722146652,18.760780885670293,0.09663949859630348,0.1270774302344954,0.01614867327500304,21.591082850863476,0.11146293063059572,0.15626952714848238,0.02442016511521027
Fold 5,0.0010111397593644486,6.668931609317761,0.048813080010760436,0.15748254235433487,0.024800751146384872,8.982010162343784,0.06346480022267247,0.17834278440432944,0.03180614874908913,9.760443165861163,0.06747396392714676,0.17835267834774737,0.031809677873815036,11.867154810160734,0.08375768767322918,0.19776519310706314,0.039111071604673975,14.043701870002504,0.09296044045252709,0.1911228044574473,0.03652792638367964,16.129288453017683,0.10711424775124152,0.21588045445257772,0.04660437061465148,16.421057723267797,0.10698937595413398,0.20730461528526364,0.04297520351857116
Mean ± Std,0.5049 ± 0.3546,5.910 ± 0.542,0.032 ± 0.009,0.067 ± 0.045,0.007 ± 0.009,8.874 ± 0.756,0.048 ± 0.008,0.087 ± 0.046,0.010 ± 0.011,11.086 ± 0.794,0.060 ± 0.005,0.101 ± 0.039,0.012 ± 0.010,13.314 ± 0.960,0.074 ± 0.007,0.120 ± 0.041,0.016 ± 0.012,15.758 ± 0.924,0.088 ± 0.005,0.139 ± 0.031,0.020 ± 0.009,18.404 ± 1.165,0.101 ± 0.004,0.162 ± 0.030,0.027 ± 0.010,19.958 ± 1.887,0.108 ± 0.003,0.173 ± 0.018,0.030 ± 0.007
