,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.6309252823940946,9.86669875227027,0.06860874706418721,0.14007780598268868,0.01962179172892377,11.601104582883163,0.06387165577557044,0.09470455377778969,0.00896895250625026,11.814194224204343,0.06567368342061218,0.0922126521989974,0.008503173225573259,12.808723475038994,0.07257655826262709,0.09721844572987444,0.00945142619013254,14.719567069612541,0.08192686296232954,0.11128396295504492,0.012384120410979811,15.54723965294221,0.08279687899593674,0.1056282380224245,0.011157324667721966,15.402586854049579,0.08124835091176355,0.10071148572980647,0.010142803357905012
Fold 2,0.8237810255306508,8.509808477002357,0.07209606177356044,0.20482860069685788,0.04195475566343285,14.391832513267854,0.1035209203319737,0.2458394400718434,0.06043703029483749,14.645317943874621,0.09777497995739116,0.20955930321718313,0.04391510156487131,14.221675901682412,0.08847909202771251,0.16431620735449567,0.02699981599936562,15.733239241419428,0.10021373972498836,0.18461338483176162,0.03408210185904011,17.569011543603434,0.11658150096973202,0.2373489222395182,0.05633451088826085,19.130804070335614,0.12197989332384129,0.22398084364362342,0.05016741831930928
Fold 3,0.6803933449808055,5.788132505037115,0.05165549985509735,0.1430155920311285,0.02045345956401419,7.035797848233501,0.054127034407950685,0.1446275560372679,0.02091712996531307,13.994991774961418,0.09661151738900275,0.1913282504701012,0.03660649942794979,16.243888910918738,0.11604530583692944,0.24436312217202982,0.059713335477662374,16.19354227554001,0.1144757474432346,0.25135479145534045,0.06317923118755768,16.883682773976357,0.11860777787318323,0.2559750653212184,0.06552323406620203,17.93338380072975,0.11141204549028262,0.1991000969618787,0.03964084861022949
Fold 4,0.6767598634564012,6.491220684855853,0.03959858835588493,0.062840535536174,0.003948932906473146,6.420979294235629,0.046060903235566865,0.0945666183637593,0.0089428453087569,8.035044708443076,0.04601244703025706,0.06914703826068695,0.004781312900224904,12.719583452954343,0.07169787426980134,0.09985320780190511,0.009970663108330445,14.85970134385362,0.08730551610358162,0.12592063667790754,0.015856006741369593,14.791253791140727,0.086314581401941,0.1267832781920672,0.016073999629127103,15.791500176500808,0.09275535709028059,0.13257603929002373,0.017576406193829913
Fold 5,0.5758088266871255,8.729280949811377,0.049440697530051876,0.06694444667132012,0.004481558940129223,9.297301751830028,0.05560607503141241,0.07693554223569603,0.005919077659100568,9.863389054262235,0.058235866023687986,0.08004813008890375,0.006407703130730059,10.109732676683452,0.06223356990822138,0.08760565168416339,0.0076747502070069595,13.61332514190971,0.08155730773218044,0.11080611892152195,0.012277995990450465,14.188813788227947,0.07438436878511591,0.09874909209576538,0.009751383189737953,15.575396842382721,0.08412328847329298,0.10324911964892851,0.010660380708278756
Mean ± Std,0.6775 ± 0.0824,7.877 ± 1.508,0.056 ± 0.012,0.124 ± 0.053,0.018 ± 0.014,9.749 ± 2.954,0.065 ± 0.020,0.131 ± 0.062,0.021 ± 0.020,11.671 ± 2.480,0.073 ± 0.021,0.128 ± 0.060,0.020 ± 0.017,13.221 ± 2.012,0.082 ± 0.019,0.139 ± 0.059,0.023 ± 0.020,15.024 ± 0.892,0.093 ± 0.013,0.157 ± 0.055,0.028 ± 0.020,15.796 ± 1.263,0.096 ± 0.018,0.165 ± 0.068,0.032 ± 0.024,16.767 ± 1.495,0.098 ± 0.016,0.152 ± 0.051,0.026 ± 0.016
