,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.8112287495568389,20.430218724354468,0.12501368134935162,0.20571230576000862,0.042317552741099274,25.648602935058584,0.15513570251435538,0.2536782086313429,0.06435263353440714,28.440898121846896,0.18314567772748708,0.2856168484211315,0.08157698410201962,31.232766019438472,0.18909362426076082,0.2622899127139745,0.06879599831150436,30.29320538280199,0.18789541567877097,0.25783448202482184,0.06647862012100816,32.74017755428131,0.20744590185909376,0.2899519655172901,0.08407214230733978,34.11273689788727,0.2188408264971235,0.3184075917493937,0.10138339448364858
Fold 2,0.4420934198016927,16.153382454469988,0.11942654485023854,0.2410396135357667,0.058100095293471765,25.65328583356279,0.1512272838318017,0.24754254394617975,0.061277311063346336,29.283014876825685,0.1700889529043351,0.3006678230253834,0.0904011398028233,31.17325652840222,0.18547445927613201,0.25471143331919444,0.06487791426351844,33.55607045864303,0.21749055925919564,0.3002467899288922,0.09014813486260431,33.20011943940398,0.2174920583721666,0.31457532355404816,0.09895763418913409,34.154926358510444,0.2280665935836485,0.31748120540637637,0.10079431578628575
Fold 3,0.8269309204317639,15.265127261053355,0.1360034570339698,0.35944709888825305,0.12920221689918157,22.241235994311296,0.18154712032468426,0.40278709308453786,0.16223744235549217,29.472199147201543,0.20631032704863253,0.4127522695760215,0.17036443604015675,34.36502643806049,0.22977565618637574,0.4323030047176356,0.18688588788789606,35.724222237427675,0.25182535739342543,0.4311247848712545,0.18586858013028548,38.98878345995378,0.2762755349076104,0.4544925115428963,0.20656344304856974,40.35221725066995,0.284488076101246,0.45798819130301344,0.20975318337300564
Fold 4,0.006882576587561791,14.646689105752559,0.0780059116015455,0.15712791145069896,0.024689180556858696,17.454089545152286,0.15537554751248092,0.38632058075139597,0.14924359111209587,21.85309954710974,0.1855704223752591,0.42408346071946323,0.1798467816557965,28.567111806156518,0.21178362341563017,0.43448617425674996,0.18877823562026688,35.37724620385935,0.24048301487374465,0.4435456419082723,0.1967327364558213,36.95300602795527,0.2578649243180763,0.44488561959851664,0.19792321452555606,40.20106121411755,0.2789308158941489,0.46731640327897134,0.21838462077359416
Fold 5,0.6608578505708435,25.994154192719176,0.15044300387829526,0.19152443258328775,0.036681608276350336,36.36740824422753,0.2081323345922076,0.26288865448182525,0.06911044465526449,39.671350676210885,0.22397256748406738,0.25502885646489926,0.06503971762979419,34.09132006820236,0.19746030013934487,0.2434890369077496,0.05928691109426344,36.95583471783584,0.21720016194150943,0.26711791961564085,0.07135198297978797,44.743458204653166,0.23772176242130696,0.2971405775651216,0.08829252283573402,45.91640107668537,0.230849225752,0.2978403509426739,0.08870887464965514
Mean ± Std,0.5496 ± 0.3046,18.498 ± 4.259,0.122 ± 0.024,0.231 ± 0.070,0.058 ± 0.037,25.473 ± 6.221,0.170 ± 0.022,0.311 ± 0.069,0.101 ± 0.045,29.744 ± 5.706,0.194 ± 0.019,0.336 ± 0.069,0.117 ± 0.048,31.886 ± 2.143,0.203 ± 0.016,0.325 ± 0.088,0.114 ± 0.061,34.381 ± 2.316,0.223 ± 0.022,0.340 ± 0.081,0.122 ± 0.057,37.325 ± 4.381,0.239 ± 0.025,0.360 ± 0.074,0.135 ± 0.055,38.947 ± 4.437,0.248 ± 0.028,0.372 ± 0.075,0.144 ± 0.058
