,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.8472455573861271,11.530664707551495,0.06302738564144014,0.09914888433792715,0.009830501265455656,15.598344647175812,0.07714898131469158,0.10107976473513934,0.010217118838911118,21.366243393230747,0.10389640038508799,0.13557207762971438,0.0183797882328373,21.284381735100038,0.10723518908543977,0.1307042175381345,0.017083592482255987,27.702659781942863,0.1484178326742322,0.24078645842819377,0.05797811856239228,29.510357704272334,0.15530483130645661,0.2546315858093808,0.06483724449180005,31.301539706556436,0.16988547204136253,0.25957540516023475,0.06737939096410002
Fold 2,0.11406323225537549,11.742543629207905,0.062102015577728764,0.09856917661600904,0.009715882578757985,15.384381339151117,0.07907427153892888,0.11668678757752622,0.013615806395162727,19.983105987504647,0.10552945573018611,0.13484837383060336,0.018184083924758152,25.353835935343206,0.12576501234902257,0.16065719193734718,0.02581073332119361,27.983665373191858,0.14561374585834164,0.19376564029627535,0.037545123359425565,29.572779409070215,0.15545182247309916,0.2056651360059781,0.04229814816835747,31.220577721684368,0.16132728016097198,0.21260367213706777,0.045200321406165804
Fold 3,0.9572961923226825,10.41245981851165,0.05769813078999508,0.08759378246888647,0.007672670727206601,14.712195154221758,0.08093615760819933,0.12690200812564406,0.016104119666321033,17.79054233951602,0.09298602125340848,0.1325512254493967,0.017569827368136795,22.360581511214956,0.11536738244563821,0.14888336004817293,0.022166254899233895,25.29457623216218,0.123369901976344,0.15470193769117044,0.02393268952540278,28.572262277884132,0.14924547770152186,0.1909845583293112,0.03647510152024207,30.58299468065538,0.1596436031561723,0.23550468483584328,0.055462456579629865
Fold 4,0.15807113740669199,11.133820245187367,0.056936423696639434,0.07993440265585246,0.006389508727947953,13.507649326253798,0.07315362532793572,0.10449761281895653,0.010919751084860548,18.314112631512558,0.0922049394927194,0.12844764838286096,0.016498798375087085,19.86514875370944,0.09803790505385324,0.13651396395421106,0.018636062354491636,25.230779385568773,0.12353193966903797,0.15962958986772338,0.025481605961337573,27.305464872973058,0.1291803266131696,0.1660197867319924,0.027562569586536242,28.041882346104867,0.14155680497740147,0.2150905484092619,0.04626394401499703
Fold 5,0.42357914573162014,9.194584479329864,0.05019883865464925,0.0768540084709042,0.005906538618045816,14.577534954246138,0.08367573278779655,0.12714216242408113,0.01616512946587143,19.69536565843006,0.11615002160344258,0.18049699645963535,0.032579165730949614,20.644512740080295,0.12160693597548278,0.18521274130554852,0.03430375954191604,25.628958760532782,0.15016641505832934,0.21795548160031156,0.04750459195962375,24.661376233592225,0.14210022267386846,0.21323696508610845,0.04547000327913424,26.560618645002275,0.1523624106826546,0.2206973058122273,0.04870730079277578
Mean ± Std,0.5001 ± 0.3468,10.803 ± 0.923,0.058 ± 0.005,0.088 ± 0.009,0.008 ± 0.002,14.756 ± 0.734,0.079 ± 0.004,0.115 ± 0.011,0.013 ± 0.003,19.430 ± 1.270,0.102 ± 0.009,0.142 ± 0.019,0.021 ± 0.006,21.902 ± 1.910,0.114 ± 0.010,0.152 ± 0.019,0.024 ± 0.006,26.368 ± 1.215,0.138 ± 0.012,0.193 ± 0.033,0.038 ± 0.013,27.924 ± 1.827,0.146 ± 0.010,0.206 ± 0.029,0.043 ± 0.012,29.542 ± 1.905,0.157 ± 0.010,0.229 ± 0.017,0.053 ± 0.008
