,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.3087665670435271,20.38518129727758,0.12440632915499658,0.1884718531624763,0.03552163943449803,33.79910100899773,0.18925371074588027,0.2810715832834209,0.07900123492944901,38.61346696700531,0.1927622216493067,0.24605867733173217,0.06054487269024149,41.498189120868275,0.18150069118283976,0.23641307768694542,0.05589114330141368,46.63969919233432,0.2178253939878735,0.27881452752276936,0.07773754075774512,54.46566098539021,0.2577401761885754,0.3211312304291574,0.1031252671569446,56.74952212658362,0.25696959483407145,0.32455560784757115,0.1053363425853064
Fold 2,0.43066289269018243,21.533630226192017,0.134695473919723,0.19308736820821204,0.03728273176157366,30.221228451873795,0.1804059517184384,0.2648381147271495,0.07013922701223081,47.49529407428696,0.2687454466135304,0.46197541213346094,0.21342128141588107,53.925597623331065,0.28341206902739596,0.473203470063308,0.22392152407995602,54.49743028616615,0.2555352244560466,0.3860954308759991,0.1490696817433234,59.80981079265708,0.301508081091719,0.3881561475534586,0.15066519488354232,61.249766644119234,0.3128993884046905,0.4006067372688646,0.1604857579452051
Fold 3,0.15384954575968998,21.061054352430112,0.12633438703050112,0.18870029879723846,0.035607802766167075,31.068132812274413,0.20884826955117966,0.33266325115628975,0.1106648386698727,41.86435991783688,0.24360383133134492,0.3950898708477529,0.15609600604649407,51.602906515011504,0.27863541371773237,0.4388692738420384,0.19260623952263806,57.32914670041824,0.2754526578332003,0.3657691709165933,0.133787086393012,60.52071111229564,0.29995617742354713,0.41361680854081995,0.1710788643074933,60.60141870496584,0.3028912416045307,0.36188807424812397,0.1309629782830157
Fold 4,0.2667602188520407,23.722238230630214,0.1285174165692385,0.1865489088802532,0.034800495404413004,31.59706498392623,0.16657487785572608,0.26563750365315175,0.07056328334707822,38.84367094359734,0.22875368149013736,0.37843367981532317,0.14321205001856654,48.0723855992305,0.2624938610520542,0.37406643096675335,0.13992569477620487,58.88784088063134,0.3100955189362272,0.41494325424654116,0.17217790424470972,59.54264580083569,0.27922953876384504,0.3570075404253895,0.1274543839205861,60.24853757494285,0.2872057411911417,0.3859144223963731,0.14892994141352625
Fold 5,0.1634940329185175,29.99301388926553,0.15684493964601878,0.18495736303907112,0.03420922614236675,39.39957935483693,0.18358577303961648,0.22906173102166347,0.0524692766186409,53.408961654622935,0.20175300785246358,0.24435099214720965,0.059707407363325714,65.65599692776748,0.2351844672057962,0.28339363057312095,0.08031194984941455,62.61226885087745,0.22934168311603778,0.2816030983665093,0.07930030500961793,64.36281975485545,0.21230249725555198,0.26930580549897815,0.07252561687545345,61.04938324312298,0.19493347232538535,0.24058741013503945,0.05788230191548569
Mean ± Std,0.2647 ± 0.1020,23.339 ± 3.510,0.134 ± 0.012,0.188 ± 0.003,0.035 ± 0.001,33.217 ± 3.310,0.186 ± 0.014,0.275 ± 0.034,0.077 ± 0.019,44.045 ± 5.673,0.227 ± 0.028,0.345 ± 0.086,0.127 ± 0.059,52.151 ± 7.949,0.248 ± 0.037,0.361 ± 0.090,0.139 ± 0.064,55.993 ± 5.361,0.258 ± 0.033,0.345 ± 0.056,0.122 ± 0.038,59.740 ± 3.157,0.270 ± 0.033,0.350 ± 0.051,0.125 ± 0.035,59.980 ± 1.652,0.271 ± 0.042,0.343 ± 0.057,0.121 ± 0.037
