Lag,MAPE_Promedio,MAE_Promedio,RMSE_Promedio,MSE_Promedio,BDS_pvalue_Promedio
7,18.36544012593168,0.09918019903836557,0.16695499981239853,0.0318689618597627,0.6661238973691275
14,21.532071489076362,0.11342539752386427,0.16094700408478949,0.028567077250609182,0.5000510530204995
21,23.257485584125206,0.12356751203510424,0.1722823653383815,0.03248249068960054,0.31790118916765414
28,30.893534400137224,0.19988161220457207,0.32495561777264814,0.11309941381193249,0.54959870338974
