Lag,MAPE_Promedio,MAE_Promedio,RMSE_Promedio,MSE_Promedio,BDS_pvalue_Promedio
7,36.943657748269494,0.16665690400837377,0.2530726332460392,0.07019700769404616,0.5528000561289504
14,44.207136559309845,0.19766680675238674,0.26160927958025965,0.07388653742174056,0.5011130597464477
21,46.923649045755965,0.2277199487933247,0.3153396502173932,0.10646905978815407,0.26470665145279154
28,60.4989483165715,0.34129545425817387,0.5401689978947651,0.3133053778548715,0.2114436853326295
