,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.6768963170879734,12.88113817848322,0.08451583311357304,0.18034519182416422,0.03252438821409459,19.299932880751456,0.11789002353055691,0.2124120463912896,0.04511887745213537,18.63184599881605,0.13026012225312025,0.24025151667878342,0.05772079126645574,17.50436854284041,0.11788644606377555,0.20276283576145776,0.04111276756602789,19.229702459009665,0.13205117970685404,0.20035834169829964,0.04014346508809259,20.83695890552085,0.1482390843571351,0.2270505169764561,0.051551937259275975,22.42443817348165,0.16905499135989557,0.28097840282681685,0.07894886285510896
Fold 2,0.8269309204317639,11.659001988953829,0.08322021879499629,0.19671448978484812,0.03869659049131312,16.700734970979596,0.0997746302996438,0.20802951263461017,0.04327627812699343,22.31627712003489,0.1307002537035424,0.23739210598031935,0.05635501198177117,18.076945016012484,0.11572461270747801,0.19107619411323043,0.03651011195679691,20.236667872837273,0.1438965805865454,0.2624014475218246,0.06885451966154886,21.70921090461242,0.15162725944751979,0.2602925175590413,0.06775219469722382,23.89924227046848,0.16925852399201974,0.271501761229854,0.07371320635091264
Fold 3,0.8269309204317639,11.818449359970964,0.10946689748557636,0.2945735116704791,0.08677355377787792,16.07269883715918,0.13020496568453213,0.31698234935637687,0.10047780980348815,20.765254174270538,0.14267128439262342,0.32804899834137685,0.10761614531278066,25.26822376635971,0.17093131321385827,0.3394737706294072,0.11524244094534737,23.177168983568276,0.17275049575874923,0.3446648233678209,0.11879384046717117,22.98713351904833,0.17393757232268528,0.34872538439232353,0.1216093937195738,25.770314959991296,0.19766866418549958,0.3601538417487028,0.12971078972634964
Fold 4,0.018229722043402525,10.085104062704422,0.0659636200768168,0.1290489319311315,0.016653626832565813,12.137605255111364,0.11289242175601108,0.2979504243913369,0.08877445539497777,16.843555736269376,0.13952615087172718,0.32770712820986014,0.10739196187955373,22.878401521991872,0.15910935214014935,0.33593496662728994,0.1128523018028784,26.961786243248365,0.1812070564283248,0.3463424042979814,0.1199530610149064,25.431989009668428,0.18477712690756995,0.3479904815505058,0.12109737524975293,24.876655614306635,0.186706998970256,0.363845467984358,0.1323835245727565
Fold 5,0.24375316152760895,20.725447236167955,0.12761809540647964,0.19484894071663927,0.03796610969839641,34.25188423903454,0.20919516044760736,0.2886258759666939,0.08330489627754138,31.943499644977084,0.1976087420119142,0.2703507864853241,0.07308954775323333,32.7586847620729,0.20275695211299286,0.31333142235728023,0.09817658023643634,35.46040764171126,0.20754232555066124,0.32908793127243036,0.10829886650916784,38.72976923095883,0.22943742920271842,0.33559535375191746,0.11262424145987461,40.74637379209495,0.24163377856486962,0.37263932303788166,0.13886006507413073
Mean ± Std,0.5185 ± 0.3290,13.434 ± 3.754,0.094 ± 0.022,0.199 ± 0.054,0.043 ± 0.024,19.693 ± 7.632,0.134 ± 0.039,0.265 ± 0.046,0.072 ± 0.024,22.100 ± 5.261,0.148 ± 0.025,0.281 ± 0.040,0.080 ± 0.023,23.297 ± 5.557,0.153 ± 0.033,0.277 ± 0.066,0.081 ± 0.035,25.013 ± 5.875,0.167 ± 0.027,0.297 ± 0.057,0.091 ± 0.032,25.939 ± 6.580,0.178 ± 0.029,0.304 ± 0.051,0.095 ± 0.029,27.543 ± 6.694,0.193 ± 0.027,0.330 ± 0.044,0.111 ± 0.028
