,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.30161219298552766,13.670280517594119,0.07743737641807301,0.11251298392023065,0.012659171550634082,16.4861040604742,0.09219224121990122,0.13927195725584798,0.019396678077874745,14.216689859754167,0.07483019643932627,0.10788576047402237,0.011639337313058128,18.197346949806455,0.10393379967791365,0.14434033495513396,0.020834132294960266,24.93365832545318,0.13055077243665678,0.17540603024018397,0.030767275444620337,25.71711614169539,0.13281920150814974,0.18087179629862526,0.03271460669629139,32.463017624535986,0.19143108053718524,0.3362080816110461,0.11303587414057983
Fold 2,0.6301479711661684,14.095092169295592,0.0894272056698126,0.17965914158216134,0.032277407154039095,19.259337034836115,0.11386408509590688,0.19417596277741536,0.03770430452053619,22.825391434677982,0.14035574702831122,0.2304219454699292,0.05309427295414702,23.898046817826113,0.12097683483651468,0.15266298738452774,0.023305987717168474,26.725036970014703,0.1445559971040515,0.18099354328435074,0.032758662710624144,33.45928392418877,0.18730464459546559,0.24939114288251896,0.06219594214824898,33.69814373707458,0.1959210246742721,0.2750968248966973,0.07567826306824414
Fold 3,0.07110398435072288,10.410306069650098,0.062199541218848735,0.08332103792873238,0.006942395361521261,15.295698558856502,0.08166730360317025,0.10429973930534679,0.010878435619163303,23.272255660479686,0.13753519356910887,0.1995030206085897,0.039801455231951374,24.8618190766597,0.1363195314683267,0.18340313933924415,0.03363671151949021,25.705927212368874,0.14718842347409936,0.19712078059746208,0.038856602143352785,25.21815976852684,0.15736835406359953,0.22459191999813147,0.05044153052844708,32.913414129749405,0.17851563289418662,0.22592814869430655,0.0510435283724367
Fold 4,0.14893564265851084,10.057531141960153,0.05909561161612812,0.08077282337473245,0.006524248995925724,13.06139076949381,0.07207744576811141,0.09604783451921857,0.009225186515831195,20.257182132422326,0.11532733069845694,0.15652604479411972,0.02450040269889077,23.209832079312015,0.1356077334720443,0.1888065737814081,0.0356479223030743,23.73698154393803,0.12471506631191442,0.16521373743483278,0.02729557903718587,23.67154941027788,0.12741026858585613,0.16718596678489003,0.027951147489798354,26.816207849709777,0.14685470986050136,0.19577294080239133,0.03832704435041662
Fold 5,0.437706154677341,17.467655594529578,0.09015880829023969,0.11813461917097481,0.013955788246671251,23.884003832758218,0.113138703080683,0.14741639750454516,0.02173159425321807,22.726850241358093,0.1007178139164936,0.13336365964301602,0.01778586571337822,33.22672934165863,0.12639670106306233,0.1661626916548401,0.02761004009798147,30.75854161887394,0.12826761819520952,0.16304062964523977,0.026582246915116237,33.126628406121945,0.14183931845004283,0.1894352430505645,0.03588571130962644,34.68878543844938,0.14686160438702356,0.1849373451780756,0.03420182164151469
Mean ± Std,0.3179 ± 0.2008,13.140 ± 2.716,0.076 ± 0.013,0.115 ± 0.036,0.014 ± 0.009,17.597 ± 3.725,0.095 ± 0.017,0.136 ± 0.035,0.020 ± 0.010,20.660 ± 3.390,0.114 ± 0.024,0.166 ± 0.044,0.029 ± 0.015,24.679 ± 4.855,0.125 ± 0.012,0.167 ± 0.017,0.028 ± 0.006,26.372 ± 2.401,0.135 ± 0.009,0.176 ± 0.012,0.031 ± 0.004,28.239 ± 4.183,0.149 ± 0.022,0.202 ± 0.030,0.042 ± 0.013,32.116 ± 2.756,0.172 ± 0.021,0.244 ± 0.056,0.062 ± 0.029
