Lag,MAPE_Promedio,MAE_Promedio,RMSE_Promedio,MSE_Promedio,BDS_pvalue_Promedio
7,9.223428519097126,0.05334149377159652,0.0923985279004333,0.01032645223698587,0.631545964411885
14,10.93759781668956,0.06213232258999488,0.08679164448749711,0.008318694313682111,0.529509360303747
21,12.872049938533577,0.08044600842197665,0.14223182218199137,0.023842202331116537,0.6775336686098156
28,18.233170391697218,0.12834965976822946,0.22778338451627922,0.05591170642146828,0.41076009265579305
