,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.30945037619228155,10.388901889883941,0.07428927546434944,0.13394971235424777,0.017942525439785716,12.047356343166388,0.08422770983090447,0.13351556380391338,0.017826405777876864,14.937983935564658,0.10407518204518634,0.1575806281495179,0.024831654367996635,17.314870300750073,0.1152154131193147,0.16849675032684333,0.02839115487070658,19.23131987483134,0.12905446760404213,0.18347727098079358,0.03366390896655956,20.736797205849715,0.13597440023126373,0.17890474129167275,0.03200690645664036,20.588291766132244,0.14581635171446347,0.2254026966535627,0.05080637565869801
Fold 2,0.6096616822677274,6.695467224389971,0.05361764757276736,0.10755009239611243,0.011567022374412322,10.47770813815906,0.07378615812451689,0.126997281186746,0.016128309428825427,14.05838245767084,0.10568775826791525,0.18689659728099056,0.034930338075212765,14.903917554941435,0.10765782997447462,0.1626754954284826,0.026463316812902267,18.605365780011784,0.13462157469149655,0.22201446533164684,0.04929042281649702,21.30663241436825,0.14700649197077442,0.21468959014217667,0.0460916201154158,21.805549376371587,0.1520235295089024,0.22426362071330447,0.05029417157544089
Fold 3,0.8269309204317639,8.578030110451307,0.079832721599417,0.23319034027507635,0.054377734797605895,12.636451953208244,0.11001079253283287,0.2650906855718157,0.07027307157693524,14.645081625478415,0.12357335856781049,0.27329884359294176,0.07469225790923924,16.326070197516152,0.13550005060569634,0.28167823067951336,0.07934262563874116,19.454969477432353,0.15655285384081924,0.2908918548020548,0.08461807119017974,21.784313033068802,0.1648321849497853,0.2939400040008293,0.08640072595200755,25.50743355400652,0.18650406042638165,0.3066931555880143,0.09406069168453396
Fold 4,0.004872187820404572,9.564359434915213,0.05685882828290029,0.09787946337391112,0.009580389350364808,11.110725018569454,0.09612089965421995,0.25405087829683254,0.06454184876339202,15.974436254979535,0.12945606180447766,0.2793336867074379,0.07802730852956907,16.586372286767475,0.13442181251590163,0.29083842590571335,0.0845869899833131,17.002205868428486,0.14407406269187115,0.3003174120524035,0.09019054798185311,20.109662878928106,0.1625957259655213,0.3092140638477835,0.09561333728126113,21.57090751103724,0.16469666789452878,0.306133533311883,0.09371774021801776
Fold 5,0.30288529656678764,16.915422742775974,0.10351639085788626,0.15593823810436452,0.024316734103093485,28.70329507286087,0.1694511701377969,0.26798399061516753,0.0718154192260302,26.608836106711355,0.14968352402968518,0.23296971605699465,0.05427488859967671,26.881116418068462,0.15918787306051063,0.2695243529603122,0.07264337683867493,28.464228007261124,0.16529635752233984,0.27700367101248236,0.07673103375439157,29.529980018381814,0.17691228569357428,0.2749132173567161,0.07557727707742103,27.10852187646447,0.1601066191337023,0.2851201879175123,0.08129352155811755
Mean ± Std,0.4108 ± 0.2826,10.428 ± 3.470,0.074 ± 0.018,0.146 ± 0.048,0.024 ± 0.016,14.995 ± 6.894,0.107 ± 0.034,0.210 ± 0.065,0.048 ± 0.026,17.245 ± 4.723,0.122 ± 0.017,0.226 ± 0.048,0.053 ± 0.021,18.402 ± 4.311,0.130 ± 0.018,0.235 ± 0.057,0.058 ± 0.025,20.552 ± 4.048,0.146 ± 0.013,0.255 ± 0.045,0.067 ± 0.022,22.693 ± 3.464,0.157 ± 0.014,0.254 ± 0.050,0.067 ± 0.024,23.316 ± 2.528,0.162 ± 0.014,0.270 ± 0.037,0.074 ± 0.020
