,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.18088880445815725,5.741278466409068,0.030465063882483313,0.04062827043524361,0.00165065635855929,8.905849257607553,0.04801326007185134,0.06679433883072679,0.004461483699833936,10.446261128308858,0.05520618854725102,0.07610750262565467,0.005792351955914032,11.036256693525928,0.061185419538183274,0.08034079661308634,0.006454643600425305,13.147292705502839,0.07391319029569858,0.09641617958225497,0.00929607968523764,14.421837034128393,0.08246229744059388,0.10876982533711364,0.01183087490386621,14.64981895093802,0.08608340598814208,0.1127949034785309,0.0127226902507311
Fold 2,0.43068156302450045,5.706901500140563,0.029654524777596045,0.04342179364104314,0.0018854521630053346,7.756270491737519,0.042312087573710216,0.05592961586663849,0.00312812193098974,10.50594857940744,0.05605145518712169,0.07486268169720324,0.005604421110896769,12.165332407884257,0.0634846512185028,0.08394872101085848,0.007047387759358953,12.305489168339285,0.06612817828799225,0.08680661893408567,0.007535389090767561,14.15674038080642,0.07929564781426261,0.10146638415343577,0.0102954271131726,15.331774358798917,0.08542696003911819,0.11135161926736452,0.012399183113464104
Fold 3,0.17939959078125056,5.666582314837484,0.032329941135494165,0.0420997190803874,0.0017723863466475346,7.942566895372388,0.04740070655578352,0.06679386245057682,0.004461420061066577,9.346725224575577,0.053585846781706234,0.06768135503443315,0.00458076581929699,12.082627078855955,0.06495987460306468,0.08420804274904888,0.007090994463625644,13.260589459683187,0.07050260832793384,0.08913190410766178,0.007944496329857414,14.041622107121476,0.07704890802418488,0.09808103910394797,0.009619890231710171,15.315734615021368,0.08428605150719505,0.10963027268431498,0.012018796688837258
Fold 4,0.9586437812573544,5.031404162444081,0.028577939862932115,0.0368918187358144,0.0013610062896361867,7.699058504173903,0.04491669993551842,0.05692648794905203,0.003240625030213566,9.068358296254225,0.051392547372816705,0.07387348070064191,0.005457291150828113,10.138415936191974,0.05516406392087196,0.07053487116057475,0.004975168049638878,12.357740067435152,0.06419733709080397,0.08180700189528241,0.006692385559094739,14.417446777797501,0.07758435601225762,0.09772798539124278,0.009550759128630962,14.927089786783556,0.08083205588457348,0.10052429996149592,0.01010513488274881
Fold 5,0.8979330619974721,6.660025879341227,0.035990743716257455,0.05313712658696264,0.0028235542219188915,7.8056795236720395,0.05471016946525704,0.11625804156731623,0.013515932229067827,10.406710089091236,0.06834555197809583,0.12493548115967493,0.01560887445259949,10.277175425809295,0.06420635359414002,0.11166521412023114,0.012469120044517067,12.899846304568754,0.08460134403466033,0.14324847887817477,0.02052012670091088,13.444514171333882,0.08553662477940896,0.13715562314982452,0.01881166496161668,13.748959840235278,0.08877923540435766,0.13575619912249925,0.018429745600187664
Mean ± Std,0.5295 ± 0.3388,5.761 ± 0.520,0.031 ± 0.003,0.043 ± 0.005,0.002 ± 0.000,8.022 ± 0.449,0.047 ± 0.004,0.073 ± 0.022,0.006 ± 0.004,9.955 ± 0.617,0.057 ± 0.006,0.083 ± 0.021,0.007 ± 0.004,11.140 ± 0.860,0.062 ± 0.004,0.086 ± 0.014,0.008 ± 0.003,12.794 ± 0.396,0.072 ± 0.007,0.099 ± 0.022,0.010 ± 0.005,14.096 ± 0.358,0.080 ± 0.003,0.109 ± 0.015,0.012 ± 0.003,14.795 ± 0.582,0.085 ± 0.003,0.114 ± 0.012,0.013 ± 0.003
