,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.2758464233078627,7.770164909049701,0.04951530713115193,0.07659778786040275,0.005867221105107264,11.046070196075373,0.07434376999873746,0.126042205071106,0.01588663745918674,13.342252010673263,0.0857044808141507,0.12688292005034382,0.016099275400501944,12.963062058615924,0.07402058279097319,0.09354529372181793,0.008750721977501187,15.934033873265344,0.09330853213891278,0.12074773532778252,0.014580015586788219,18.30870059417019,0.10670932421080045,0.1402459681289641,0.019668931576430407,19.219756482754974,0.11505836411299795,0.16698586766189286,0.02788427999879519
Fold 2,0.07180481449858457,9.59718175879515,0.05238279267812899,0.06722734942179165,0.00451951651027967,10.608324888995629,0.07701775020513302,0.1370994962063584,0.018796271860037277,12.750174293788236,0.07925747456586313,0.12269346441726676,0.015053686210711107,13.411550620077591,0.07751404404372778,0.10364608660742505,0.010742511269033854,15.03935157476955,0.09590833197920702,0.14484919354953982,0.020981288871952046,19.52679016656578,0.12734658167823928,0.19869678379673522,0.039480411891166536,20.53456049389458,0.12721318775082086,0.1745077958257941,0.03045297080397704
Fold 3,0.6527340508319626,9.535148286657813,0.044264754463758216,0.05520320335888852,0.0030473936610828007,13.055139166129598,0.06267056928685943,0.07715907046798741,0.005953522155483847,14.345814133177473,0.0811751557836953,0.10890110091018375,0.011859449779450023,17.156035245534436,0.09453614333934637,0.12597330805738904,0.015869274342921843,17.649962166606603,0.09686416287232656,0.12190708096647422,0.0148613363897665,17.116974996943853,0.0922334378434332,0.10986658321812645,0.012070666108025506,21.662884832925577,0.11758756364934699,0.14504521400710185,0.02103811410636598
Fold 4,0.02100040441277664,7.820203516361583,0.04569632307232134,0.06247422261074524,0.0039030284908169524,9.431569851301768,0.04687036875105591,0.058801145065187,0.003457574660977166,13.309925338916246,0.08160575861551402,0.12755233918034822,0.016269599230378594,14.669929942399557,0.0863625521577418,0.11611392731309632,0.013482444116071015,19.66848904586121,0.09809210898649158,0.12313683401187807,0.01516267989046881,19.878942663495483,0.10431344098014275,0.13018908064041004,0.016949196717995187,19.523334932358484,0.11072939797269143,0.14122962884139037,0.01994580806267688
Fold 5,0.036775425488456234,11.687792697061877,0.06200188360802739,0.0853822595527009,0.007290130246324784,11.916330785984213,0.06646767908142542,0.09437152935874807,0.00890598555350905,13.808448901111934,0.06945408436145836,0.0869870890813676,0.007566753666849782,18.48247516852939,0.09616640990191931,0.12172330124209794,0.014816562065274522,20.777081386755903,0.096424746804987,0.12714671551387255,0.016166287265965636,22.843350584593168,0.11082954898497402,0.14133105549528774,0.0199744672474121,23.040830702753446,0.10523712990823321,0.12483871740928348,0.01558470536439494
Mean ± Std,0.2116 ± 0.2388,9.282 ± 1.440,0.051 ± 0.006,0.069 ± 0.011,0.005 ± 0.001,11.211 ± 1.221,0.065 ± 0.011,0.099 ± 0.029,0.011 ± 0.006,13.511 ± 0.535,0.079 ± 0.005,0.115 ± 0.015,0.013 ± 0.003,15.337 ± 2.144,0.086 ± 0.009,0.112 ± 0.012,0.013 ± 0.003,17.814 ± 2.167,0.096 ± 0.002,0.128 ± 0.009,0.016 ± 0.002,19.535 ± 1.919,0.108 ± 0.011,0.144 ± 0.030,0.022 ± 0.009,20.796 ± 1.412,0.115 ± 0.007,0.151 ± 0.018,0.023 ± 0.005
