,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.3573422471776194,15.238803207357341,0.0747705688723053,0.10364986388764205,0.010743294283926725,20.77723431688985,0.10774880352629337,0.1515568738641048,0.022969486015460172,29.595714933992234,0.15340135407780264,0.2109667579020208,0.04450697293968985,32.10951249828222,0.16411358553866295,0.2228525535519212,0.04966326062461191,39.94661554376306,0.18114582264195642,0.23496508913205175,0.055208593110833024,51.36347064916008,0.21429854704979212,0.26684520126493166,0.07120636143812188,51.85465069838807,0.20696871553720456,0.26707606906914994,0.07132962666942935
Fold 2,0.8723641689240013,22.530209672070686,0.09168660088043062,0.13941955541404755,0.019437812431850672,23.41141282161346,0.10521993258738334,0.1447912905269752,0.020964517812466943,29.148560285229554,0.13999004736977225,0.18399687743370394,0.033854850905353465,37.49765605439691,0.17473762431763876,0.22527139741334168,0.05074720249255973,38.44927206557207,0.18167104274330848,0.24457406953614277,0.05981647548947,44.967234392944974,0.19745120067143745,0.2477361230579726,0.06137318666779495,56.97413050270643,0.22613684200203996,0.27520709109719516,0.07573894299017987
Fold 3,0.2917275983065136,17.641917822460023,0.07268027615047022,0.09500949982758483,0.009026805057487843,32.969449088593734,0.12219288594534707,0.15458046807432962,0.023895121110078844,33.12293369437933,0.14916421670291075,0.21380593268168474,0.04571297684988511,36.10369090508456,0.16689876426885475,0.22183200968701505,0.049209440521779946,43.80254005033274,0.1940361846881835,0.26754443250685545,0.07158002336541534,45.21725346141437,0.20405914096865838,0.29512550629663026,0.08709906446684236,52.934389812918056,0.2279296087122539,0.29649066855290174,0.08790671653894663
Fold 4,0.6078380304825228,21.95202931154025,0.10297585632966574,0.2395798466151471,0.05739850290413742,31.875663555039687,0.13236226219698,0.2478817887202768,0.06144538117916395,44.62522304914404,0.17159082453163127,0.2735809898757875,0.07484655802141575,40.84832150016521,0.1754631310351996,0.2607367062772518,0.06798363000030988,44.619193936170404,0.19744812728847475,0.2574446359087147,0.06627774055817068,50.98911776321409,0.21850407389232257,0.2704682797567453,0.07315309035457306,50.7613339551301,0.21621795274997083,0.26052043384083495,0.06787089644861685
Fold 5,0.6347282357540948,22.130943612816868,0.11457594719635356,0.2961141192597997,0.08768357162500687,30.10937070603638,0.14164425483192614,0.33955362360260993,0.11529666330166291,31.292934456691356,0.16461133775147876,0.3501027620277584,0.12257194397946525,34.444600201864006,0.18272497116604294,0.37941086974525895,0.14395260808085383,41.31827080404402,0.19061060197106774,0.38088999666083323,0.14507718955628954,45.081651860212745,0.22353723980634788,0.40763079476374664,0.16616286483972376,47.32271399981342,0.24442329429291373,0.43032998577840353,0.185183896660041
Mean ± Std,0.5528 ± 0.2089,19.899 ± 2.930,0.091 ± 0.016,0.175 ± 0.079,0.037 ± 0.031,27.829 ± 4.842,0.122 ± 0.014,0.208 ± 0.076,0.049 ± 0.036,33.557 ± 5.709,0.156 ± 0.011,0.246 ± 0.060,0.064 ± 0.032,36.201 ± 2.936,0.173 ± 0.007,0.262 ± 0.060,0.072 ± 0.037,41.627 ± 2.311,0.189 ± 0.007,0.277 ± 0.053,0.080 ± 0.033,47.524 ± 2.986,0.212 ± 0.010,0.298 ± 0.057,0.092 ± 0.038,51.969 ± 3.132,0.224 ± 0.013,0.306 ± 0.063,0.098 ± 0.044
