,BDS_pvalue_H1,"('H1', 'MAPE')","('H1', 'MAE')","('H1', 'RMSE')","('H1', 'MSE')","('H2', 'MAPE')","('H2', 'MAE')","('H2', 'RMSE')","('H2', 'MSE')","('H3', 'MAPE')","('H3', 'MAE')","('H3', 'RMSE')","('H3', 'MSE')","('H4', 'MAPE')","('H4', 'MAE')","('H4', 'RMSE')","('H4', 'MSE')","('H5', 'MAPE')","('H5', 'MAE')","('H5', 'RMSE')","('H5', 'MSE')","('H6', 'MAPE')","('H6', 'MAE')","('H6', 'RMSE')","('H6', 'MSE')","('H7', 'MAPE')","('H7', 'MAE')","('H7', 'RMSE')","('H7', 'MSE')"
Fold 1,0.8134647259870059,6.585871615555257,0.03476295558009655,0.04909686602876128,0.0024105022538461335,11.049040166449645,0.058105611994641315,0.08230107463602544,0.0067734668862446295,13.820943281649164,0.07574051560209356,0.10139680905113849,0.01028131288575304,16.152468369677838,0.08903696621057097,0.11862279689308934,0.014071367942739126,23.700768384469466,0.12340726017622118,0.1861549491514881,0.034653665093593126,31.081753957674103,0.14779361982462208,0.21571239300419473,0.046531836495596154,30.111905218044328,0.1489321741863735,0.22637519178694335,0.05124572745657538
Fold 2,0.8466033753753499,8.15578378291927,0.04402098345313356,0.06781534996561257,0.00459892169095851,11.269997740906488,0.05986278689461261,0.08162311040640105,0.006662332152415535,14.365524214745761,0.07690414459409063,0.09993433906504483,0.009986872124367345,17.018505322362724,0.09156543442370838,0.11628295338650414,0.013521725248287896,19.043966651010606,0.10242433691890833,0.13339360280320586,0.017793853268819455,26.26790976826474,0.1307258955255867,0.1831523871957309,0.03354479693549493,32.69868676587541,0.15450045337045532,0.2201805342822851,0.048479467676832526
Fold 3,0.5614002934907385,7.106700514526924,0.038063885246115606,0.052679442690581335,0.0027751236821902435,11.727246679175135,0.06250142293342356,0.09094680875179503,0.008271322022135581,14.5365016473391,0.07899881556752908,0.10855474478414782,0.011784132615151469,18.06277582089117,0.0966962529542281,0.12564988163578056,0.015787892755085662,19.869445920853206,0.10695970371585875,0.1428737123698364,0.020412897686338742,21.63680259617637,0.1148032890824388,0.15420385948942658,0.023778830281434817,28.042862622946224,0.13510476736978794,0.1769352949827279,0.03130609861062493
Fold 4,0.6679694008667922,9.989086308296923,0.06451306735111954,0.16927004926943795,0.02865234957967795,12.440973684216255,0.07640602753097052,0.1882900094473278,0.03545312765767479,15.9396568639344,0.09446946590786569,0.20157769171718196,0.04063356579802725,17.730379259278823,0.10191517739265889,0.2051159205379035,0.042072540858111546,20.40798072602488,0.11293983243987638,0.2084846942263209,0.04346586772664252,22.186751197046377,0.12402111135420255,0.22134926866806318,0.048995498739886414,24.089634557886814,0.1353443127648621,0.2360111526335095,0.05570126416739772
Fold 5,0.4411816911257511,10.042402293236199,0.06687479827832996,0.20617222759165113,0.04250698743010359,14.503682686160769,0.08717712535310126,0.22803060843813439,0.05199795838466577,17.023199088234854,0.10176854578317696,0.2316232770316261,0.05364934246286942,19.686888507351913,0.11208966952746587,0.23855464848282001,0.05690832031276182,21.249948901728086,0.12077793387389367,0.24308707068353816,0.05909132393350348,25.185153535556104,0.1420375225076259,0.2583663263472808,0.06675315859018961,30.009205757143615,0.160061100653149,0.27360594599843263,0.07486021368569724
Mean ± Std,0.6661 ± 0.1522,8.376 ± 1.431,0.050 ± 0.013,0.109 ± 0.066,0.016 ± 0.016,12.198 ± 1.247,0.069 ± 0.011,0.134 ± 0.062,0.022 ± 0.019,15.137 ± 1.174,0.086 ± 0.011,0.149 ± 0.056,0.025 ± 0.018,17.730 ± 1.178,0.098 ± 0.008,0.161 ± 0.051,0.028 ± 0.018,20.854 ± 1.594,0.113 ± 0.008,0.183 ± 0.041,0.035 ± 0.015,25.272 ± 3.391,0.132 ± 0.012,0.207 ± 0.035,0.044 ± 0.015,28.990 ± 2.862,0.147 ± 0.010,0.227 ± 0.031,0.052 ± 0.014
